,Name,Outside Layer,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
0,Floor-SLAB_1,"HW CONCRETE 5""","Slab Horizontal Insulation 5""","Topping Slab 6""",,,,,,,
1,Floor-SLAB_2,"HW CONCRETE 5""","Slab Horizontal Insulation 5""","Topping Slab 6""","Carpet 1/4""","Polyiso 2""","Polyiso 2""","Plywood 1/2""",,,
2,Floor-SLAB_3,"HW CONCRETE 5""","Slab Horizontal Insulation 5""","Topping Slab 6""","Polyiso 2""","Polyiso 2""","Plywood 1/2""",,,,
3,Ceiling-Const,"Cotton Batt 7""","Acous Tile 3/4""",,,,,,,,
4,FloorPlnm-Const,"Acous Tile 3/4""","Cotton Batt 7""",,,,,,,,
5,TempNwall-SouthFacing-CONST,"Gypsum Board 1/2""","Polyiso 2.25"" TempNwall NorthFacing","Polyiso 2.25"" TempNwall SouthFacing","Gypsum Board 1/2""",,,,,,
6,TempNwall-NorthFacing-CONST,"Gypsum Board 1/2""","Polyiso 2.25"" TempNwall SouthFacing","Polyiso 2.25"" TempNwall NorthFacing","Gypsum Board 1/2""",,,,,,
7,Roof-Const,"Roof Decking 1/2""","Ins Board 4"" R20","Plywood 1.125""",Spray-on Insul and Wood,,,,,,
8,ZoneB-S1Wall-Const,Metal Panel 0.0433,"Air Layer 3/4"" vertical-AL11",Equiv Layer K2-Kwall South Corner,"Plywood 1/2""",Equiv Layer K3-Kwall South Corner,"Gypsum Board 5/8""",,,,
9,ZoneB-S2Wall-Const,"Cement Board 0.65""","Air Layer 3/4"" vertical-AL11","Ins Board 3/4"" R3.8","Plywood 1/2""",Equiv Layer K1-SouthWall,"Gypsum Board 5/8""",,,,
10,ZoneB-S3Wall-Const,Metal Panel 0.0433,"Air Layer 3/4"" vertical-AL11",Equiv Layer K1-Jwall South,"Plywood 1/2""",Equiv Layer K2-Jwall South,"Gypsum Board 5/8""",,,,
11,ZoneB-E1Wall-Const,Metal Panel 0.0433,"Air Layer 3/4"" vertical-AL11",Equiv Layer K1-Kwall South Corner,"Plywood 1/2""",Equiv Layer K3-Kwall South Corner,"AdditionalInsulation 6""","Gypsum Board 5/8""",,,
12,ZoneB-E2Wall-Const,Metal Panel 0.0433,"Air Layer 3/4"" vertical-AL11",Equiv Layer K1-Kwall Middle,"Plywood 1/2""","SIP 7.25""","Plywood 1/2""","AdditionalInsulation 6""","Gypsum Board 5/8""",,
13,ZoneB-E3Wall-Const,Metal Panel 0.0433,"Air Layer 3/4"" vertical-AL11",Equiv Layer K1-Kwall North Corner,"Plywood 1/2""",Equiv Layer K3-Kwall North Corner,"AdditionalInsulation 6""","Gypsum Board 5/8""",,,
14,ZoneB-N1Wall-Const,Metal Panel 0.0433,"Air Layer 3/4"" vertical-AL11",Equiv Layer K2-Kwall North Corner,"Plywood 1/2""",Equiv Layer K3-Kwall North Corner,"Gypsum Board 5/8""",,,,
15,ZoneB-N2Wall-Const,Metal Panel 0.0433,"Air Layer 3/4"" vertical-AL11","Ins Board 3/4"" R3.8","Plywood 1/2""",Equiv Layer K4-NorthWall,"Gypsum Board 5/8""",,,,
16,ZoneB-N3Wall-Const,"Plywood 3/4""",Equiv Layer K2-NorthWall,"Plywood 1/2""",Equiv Layer K1-NorthWall,"Plywood 1/2""","Gypsum Board 5/8""",,,,
17,ZoneB-N4Wall-Const,"Gypsum Board 5/8""",Equiv Layer K5-NorthWall,"Gypsum Board 5/8""",,,,,,,
18,ZoneB-N5Wall-Const,"Gypsum Board 5/8""",Equiv Layer K1-Jwall North,"Gypsum Board 5/8""",,,,,,,
19,ZoneB-W1Wall-Const,"Gypsum Board 5/8""",Equiv Layer K2-Jwall South,"Plywood 1/2""",Equiv Layer K3-Jwall South,"Plywood 1/2""",Equiv Layer K2-Jwall South,"Gypsum Board 5/8""",,,
20,ZoneB-W2Wall-Const,"Gypsum Board 5/8""","Ins Board 4"" R20","Plywood 1/2""","SIP 7.25""","Plywood 1/2""","Ins Board 4"" R20","Gypsum Board 5/8""",,,
21,ZoneB-W3Wall-Const,"Gypsum Board 5/8""",Equiv Layer K1-Jwall North,"Plywood 1/2""",Equiv Layer K2-Jwall North,"Plywood 1/2""",Equiv Layer K1-Jwall North,"Gypsum Board 5/8""",,,
